"","Name","EC","EC_all","EC_bin","EC_cat","Blue_R","Green_R","Red_R","NIR_R","SWIR1_R","SWIR2_R","NDVI","NDWI","NDSI1","NDSI2","SI1","SI2","SI3","SI4","SI5","SAVI","VSSI","NBR","NBG","NBNIR","NBSWIR1","NBSWIR2","NRSWIR1","NRSWIR2","NGSWIR1","NGSWIR2","NNIRSWIR1","NNIRSWIR2"
"50",39,2380,2380,1,1,0.0579775,0.1069,0.0931225,0.2098325,0.174385,0.13792,-0.0688797510280093,-0.324982437861602,0.116760858775876,-0.385238731824858,0.141772388024784,0.0997737202373451,0.0734779541342163,0.182788839862021,0.622593895138125,0.5711425,-1.300975,-0.23259430840503,-0.296720292338251,-0.56702512975617,-0.500973694120179,-0.408083308873263,-0.30377652963001,-0.193892898492702,-0.23991681035249,-0.126705334531492,0.09225894187537,0.206792186972056
"51",40,1890,1890,0,1,0.05355,0.097825,0.08325,0.2076325,0.1703975,0.13143,-0.0804915090432142,-0.359485362120753,0.129105200818348,-0.427603929421674,0.128453466769099,0.0902437324693521,0.0667685367519762,0.176697220802453,0.643243243243243,0.56070625,-1.2587625,-0.217105263157895,-0.292485549132948,-0.589941898863821,-0.521762913182777,-0.421018488485242,-0.343577208527583,-0.224427054220235,-0.270568278201866,-0.146583498724128,0.09849747374547,0.22474470046083
"53",61,1040,1040,0,0,0.075275,0.110365,0.11053,0.1476275,0.109265,0.0963675,0.000746961225921937,-0.144432493192632,0.0627211165550193,-0.143701035220747,0.156196396005158,0.110447469187845,0.0912148329494715,0.147848208897748,0.681036822582104,0.42433375,-1.0700575,-0.189741933747746,-0.189021762551174,-0.324592590931013,-0.184187709981576,-0.12288623155687,0.00575536295184156,0.0684517695960561,0.00500842325729632,0.0677082703493645,0.149332892163064,0.210086272259678
"54",76,1610,1610,0,1,0.07929,0.11042,0.1147375,0.18104,0.15354,0.12835,0.0191754660626449,-0.242297399300075,0.0893610983007556,-0.224163433662128,0.159239663106432,0.112558050578357,0.0953810063639507,0.188118791885528,0.691055670552348,0.50996875,-1.2580475,-0.182693174936543,-0.164092562331981,-0.390850074904928,-0.318902203324314,-0.236274320940089,-0.144635685064905,-0.0559983545019798,-0.163358084558266,-0.0750931859111279,0.0821925996772072,0.170302854003038
"55",77,1360,1360,0,0,0.07137,0.099915,0.09689,0.1643475,0.1450425,0.1082475,-0.0153705444475496,-0.243820065276004,0.145268269572427,-0.258222881477583,0.139178587882619,0.0983908753391289,0.083156715303095,0.159371758744933,0.736608525131593,0.45931375,-1.1063575,-0.151670034470462,-0.166652071109554,-0.394444621209711,-0.340426269277422,-0.205311286483778,-0.199032788071053,-0.0553653037596735,-0.184225835093843,-0.0400288236353811,0.062396974692136,0.205799812909261
"56",26,3470,3470,1,2,0.074285,0.102445,0.103435,0.1894825,0.170205,0.138635,0.00480862638430149,-0.298147656524308,0.10222121486854,-0.293760188448966,0.145580827206058,0.10293880985809,0.0876565398301804,0.191313606203329,0.718180499830812,0.52542375,-1.2596975,-0.16402205716858,-0.159339104849205,-0.43673879458235,-0.392326884535155,-0.302226188239715,-0.244006724163134,-0.145412483992234,-0.248523748395379,-0.150116144018583,0.0535951346655083,0.154967351634704
"57",27,3300,3300,1,2,0.0733225,0.1055525,0.1105025,0.1923425,0.1859075,0.153485,0.0229108328897735,-0.291344265596939,0.0955309855108761,-0.270237250078423,0.152814046352094,0.107999144122766,0.0900128855011881,0.201362612029559,0.66353702404923,0.5361075,-1.30312,-0.202257581939344,-0.180181691125087,-0.448007829409218,-0.434305443042858,-0.353438488586136,-0.2543942512061,-0.162820209290213,-0.275698209016675,-0.185040775949428,0.0170125578321217,0.112360931389204
"58",28,2780,2780,1,1,0.0846525,0.1138575,0.12219,0.2059,0.1927275,0.1619,0.0353000984971246,-0.287850949547704,0.0869292426560264,-0.255143405772806,0.167014749068009,0.11795019256025,0.101703928021488,0.220968500098808,0.692794009329732,0.575845,-1.412735,-0.181478661300265,-0.147121051836179,-0.41729979951988,-0.38962794722042,-0.31331055251924,-0.223987234751959,-0.139779647294871,-0.257253290278389,-0.174220102807721,0.0330446344017912,0.11963023382273
"59",29,2600,2600,1,1,0.0669975,0.10173,0.10943,0.17268,0.1751,0.1284875,0.0364652396287177,-0.258554717393681,0.153538930291926,-0.224203324944171,0.149411906486732,0.105509781063179,0.0856243915306848,0.185750244765556,0.612240701818514,0.486415,-1.20709,-0.240509557750351,-0.205849668844735,-0.440936258096818,-0.446524643996737,-0.314550988566898,-0.230801672934313,-0.080101295617178,-0.2650363038688,-0.116227046162868,-0.00695842199091373,0.146737280749085
"60",41,1510,1510,0,1,0.0874025,0.1182025,0.1227675,0.1719925,0.1831575,0.15486,0.0189442669211935,-0.185358121263289,0.0837160797887684,-0.167000271407247,0.170422093821488,0.12046337791524,0.103586613125201,0.178634878651044,0.711935161993199,0.491365,-1.237395,-0.168268544511586,-0.149801804430826,-0.326104975038069,-0.353914104080426,-0.278447964501316,-0.197401323853886,-0.115595537185618,-0.215539554021768,-0.134245822842756,-0.0314374208081094,0.0524166099387338
"61",42,1770,1770,0,1,0.0874025,0.1182025,0.1227675,0.1719925,0.1831575,0.15486,0.0189442669211935,-0.185358121263289,0.0837160797887684,-0.167000271407247,0.170422093821488,0.12046337791524,0.103586613125201,0.178634878651044,0.711935161993199,0.491365,-1.237395,-0.168268544511586,-0.149801804430826,-0.326104975038069,-0.353914104080426,-0.278447964501316,-0.197401323853886,-0.115595537185618,-0.215539554021768,-0.134245822842756,-0.0314374208081094,0.0524166099387338
"62",44,2270,2270,1,1,0.07082,0.1023075,0.101235,0.1532375,0.1391575,0.1245825,-0.00526916982939669,-0.199299536285194,0.055262758777584,-0.204354105060468,0.143928279991286,0.101769837194033,0.0846726797733484,0.151631095594165,0.699560428705487,0.43371125,-1.0677475,-0.176774868501351,-0.181874629969242,-0.367840844426096,-0.325451536474146,-0.275137216770512,-0.157752425720436,-0.103391012654024,-0.152610109125546,-0.0981753272510908,0.0481540382017478,0.103142322367
"63",47,2200,2200,1,1,0.083855,0.1206775,0.119935,0.219705,0.194075,0.1526325,-0.00308587459088775,-0.290930056627471,0.119531593634404,-0.293752208220469,0.170139540469727,0.120305677183165,0.100285340030335,0.218353207308736,0.699170383957977,0.60923,-1.456845,-0.177044997301143,-0.180032513170278,-0.447522730267492,-0.396574677076962,-0.290829325017178,-0.236107130346167,-0.119961110550598,-0.233191158132183,-0.116918517434415,0.0619411281357243,0.180138986806325
"64",48,1660,1660,0,1,0.0661725,0.1003825,0.09656,0.1810675,0.1675375,0.1205675,-0.0194092184266982,-0.286676141410553,0.163030839450895,-0.30439167589666,0.139285605524225,0.0984527003184778,0.0799350774066054,0.174172567927677,0.685299295774648,0.50094875,-1.1873725,-0.186732828414729,-0.20539761640299,-0.464710402847436,-0.433721278507552,-0.291287351397665,-0.268754910591732,-0.110568675087218,-0.250653180053747,-0.0913555102964472,0.0388118357453278,0.200573540868931
"65",49,1610,1610,0,1,0.06499,0.096725,0.0915825,0.2076325,0.1730375,0.1157,-0.0273090556669277,-0.364398774467526,0.198580025109312,-0.38784820279732,0.133203152857768,0.0941186342468908,0.0771488604906126,0.196593470470406,0.709633390658696,0.5648725,-1.302625,-0.16984144725287,-0.196240299291964,-0.523223505029849,-0.453928642698848,-0.280646410980132,-0.307818758975134,-0.116350873807485,-0.282887725313934,-0.089325644345063,0.0908792392360837,0.284328052391888
"66",50,1500,1500,0,1,0.06796,0.0981825,0.0905925,0.2032875,0.16234,0.1110525,-0.0402065951529598,-0.348641655886158,0.187596587324085,-0.383472846059616,0.133591932250791,0.0943111771278993,0.0784644269717176,0.187572356007944,0.750172475646439,0.553515,-1.273035,-0.142744516800429,-0.181907097822652,-0.498907824035244,-0.409813287016934,-0.240723413169471,-0.283662637264883,-0.101465446700885,-0.246264718018597,-0.0615097856477166,0.111992396633185,0.293424317617866
"67",54,2800,2800,1,1,0.06708,0.099475,0.097385,0.11394,0.05498,0.04035,-0.0106166819059229,-0.0677787409507298,0.153466904437218,-0.0783390512244173,0.139208885671856,0.0984244526273832,0.0808244133910046,0.111546085951244,0.688812445448477,0.3335425,-0.857675,-0.184264129146019,-0.194500315211192,-0.258866423599602,0.0991315746354252,0.248813180675789,0.278311948282086,0.414092278651033,0.2880774335567,0.422849991060254,0.349040966137817,0.476958973361851
"68",55,1940,1940,1,1,0.08094,0.1129775,0.11427,0.2092,0.193855,0.1472975,0.00568763132707719,-0.298663004089361,0.136471226211152,-0.293473892478437,0.160690847300803,0.113621912169264,0.0961717931620285,0.211593317253435,0.708322394329221,0.580135,-1.391395,-0.170739203934225,-0.165212010262096,-0.442062452609085,-0.41090631197802,-0.290738813735692,-0.258288032454361,-0.126267598229903,-0.263588439946877,-0.131860532129478,0.038071727183635,0.173640768869347
"69",56,1650,1650,0,1,0.07544,0.1058825,0.10305,0.2081825,0.1710575,0.1241425,-0.0135570100391275,-0.325728750417907,0.158926151761518,-0.337794092840561,0.147751163468346,0.104456649501121,0.088170811496776,0.202613336717588,0.732071809801068,0.57198125,-1.3443975,-0.1546865370609,-0.167891464104013,-0.468025280081799,-0.38790454264242,-0.244021895707289,-0.248105214195161,-0.0928397724396713,-0.23533978479093,-0.0793826757961091,0.0978931547305136,0.252884977055593
"71",58,2020,2020,1,1,0.0922975,0.1214475,0.12824,0.1993825,0.21679,0.1819475,0.027204005006258,-0.242916809525294,0.0873820495940312,-0.217147784416516,0.176621043073157,0.124797545648943,0.10879444563028,0.210533866897219,0.719724734872115,0.56257625,-1.3952175,-0.162976818001474,-0.136377459121851,-0.367131788261108,-0.402774295304728,-0.326897482178344,-0.256644349766687,-0.173145275035261,-0.281880335563029,-0.199410010052901,-0.0418276075425454,0.0457215535100832
"72",59,1540,1540,0,1,0.07731,0.10679,0.1014275,0.2245175,0.1681425,0.1188625,-0.0257543194015872,-0.355342091561465,0.171704325708611,-0.377640399453896,0.147280826505863,0.104074217388362,0.0885514541100258,0.213243269325311,0.762219319218161,0.6120075,-1.416145,-0.13493251276313,-0.160130363932645,-0.487720635130994,-0.370061417178477,-0.211816131211052,-0.247486738138517,-0.0791456716146896,-0.223154774353705,-0.0535004043828452,0.143572047063617,0.307691187605568
