,Name,EC,pH,Blue_R,Red_R,Green_R,NIR_R,SWIR1_R,SWIR2_R,EC_all,EC_bin,EC_cat,NBR,NBG,NBNIR,NBSWIR1,NBSWIR2,NDVI,NDSI2,NRSWIR1,NRSWIR2,NDWI,NGSWIR1,NGSWIR2,NNIRSWIR1,NNIRSWIR2,NDSI1,SI1,SI2,SI3,SI4,SI5,SAVI,VSSI
37,C-S37_20240304,127.8,6.12,0.0548975,0.09315,0.0951025,0.250945,0.252705,0.1718825,127.8,0,0,-0.258379912,-0.268033333,-0.641008035,-0.643062069,-0.515852368,-0.010371708,-0.458579753,-0.461334953,-0.297067341,-0.450350024,-0.453131402,-0.287581699,-0.00349449,0.186985236,0.190355345,0.133121779,0.094121187,0.071510154,0.245792979,0.589345142,0.6739375,-1.53027
38,C-S38_20240304,1647,5.56,0.05575,0.1014275,0.0916375,0.2238575,0.2769325,0.198255,1647,0,1,-0.290610933,-0.243490798,-0.60122672,-0.664845611,-0.561032263,0.050708311,-0.376377638,-0.463857173,-0.323100281,-0.419087466,-0.502740321,-0.367782885,-0.105982548,0.060653262,0.165571485,0.136692974,0.096408312,0.075196962,0.247773091,0.549653694,0.6103575,-1.44315
39,C-S39_20240304,348.2,6.1,0.0564375,0.091445,0.0913075,0.2176975,0.227185,0.15233,348.2,0,0,-0.236725103,-0.236014755,-0.588250315,-0.602023817,-0.459326763,0.000752384,-0.408395805,-0.426011361,-0.249758999,-0.409022508,-0.426627001,-0.250464317,-0.021325856,0.176655789,0.197238581,0.129225569,0.091376224,0.071839593,0.218025331,0.617174258,0.58996625,-1.3630975
40,C-S40_20240304,1452,6.49,0.0307525,0.0494525,0.0619925,0.173285,0.12098,0.0655125,1452,0,1,-0.233152547,-0.336837565,-0.698560314,-0.594648477,-0.361086584,-0.112521872,-0.555957124,-0.419682279,-0.13969469,-0.473026532,-0.322384511,-0.027606761,0.177747948,0.451313351,0.297424829,0.079300818,0.05536862,0.038997282,0.138232471,0.62185936,0.45793875,-0.9897025
41,C-S41_20240304,1643,7.13,0.0476925,0.081325,0.080335,0.2209975,0.2238025,0.1421275,1643,0,1,-0.26068169,-0.254964754,-0.644999814,-0.648667563,-0.497497629,0.006123964,-0.461998363,-0.466944146,-0.27210481,-0.466801623,-0.471719206,-0.277765916,-0.006306205,0.217197935,0.223198426,0.114313026,0.080828484,0.062278347,0.22372094,0.586443283,0.59315625,-1.3509425
42,C-S42_20240304,1556,5.99,0.05542,0.0997775,0.0963125,0.2499,0.251935,0.17378,1556,0,1,-0.285813238,-0.269503897,-0.636971047,-0.639374664,-0.516404887,0.017670457,-0.429317014,-0.432618971,-0.270518995,-0.443622053,-0.446873273,-0.286818405,-0.004055118,0.179663897,0.183585262,0.138678214,0.098029692,0.074361745,0.258890562,0.555435845,0.67463875,-1.5557625
43,C-S43_20240304,3826,7.63,0.056905,0.09337,0.0878975,0.212995,0.2541625,0.17807,3826,1,2,-0.242655132,-0.214032907,-0.578325306,-0.634130856,-0.515650601,0.030190189,-0.390465621,-0.462668959,-0.312039493,-0.415754796,-0.486069695,-0.339035784,-0.088123385,0.089307404,0.1760453,0.128233878,0.090592437,0.072891837,0.226256073,0.609456999,0.5791725,-1.35603
44,C-S44_20240304,1787,6.06,0.0485175,0.0855325,0.0828375,0.2227025,0.2552075,0.1617075,1787,0,1,-0.27612831,-0.261276693,-0.642227712,-0.680516915,-0.538423118,0.016006414,-0.4450176,-0.497960322,-0.30810144,-0.457763304,-0.509902528,-0.322517328,-0.068014898,0.158671731,0.224266337,0.119070819,0.084174215,0.06441912,0.229947808,0.567240523,0.5995225,-1.3755
45,C-S45_20240304,562.8,4.85,0.051185,0.0985125,0.088585,0.247975,0.2275425,0.159755,562.8,0,0,-0.316154244,-0.267582457,-0.657808531,-0.632723718,-0.514696122,0.05306057,-0.431364768,-0.395730782,-0.237128171,-0.473585691,-0.439561569,-0.286582911,0.042968976,0.216368675,0.17502695,0.132484017,0.093416967,0.071009593,0.27576494,0.519578734,0.66919375,-1.5552675
46,C-S46_20240304,201,5.71,0.0483525,0.0834975,0.0839375,0.2100525,0.201995,0.1256,201,0,0,-0.266552901,-0.268992365,-0.625761885,-0.613716933,-0.444072376,-0.002627885,-0.43111906,-0.415063443,-0.201353436,-0.428977176,-0.412885908,-0.198830758,0.019554784,0.251606945,0.23319953,0.118394833,0.083717211,0.063539853,0.208951406,0.579089194,0.56688,-1.299875
47,C-S47_20240305,932.6,5,0.0568775,0.1075875,0.09689,0.25078,0.2919475,0.1982275,932.6,0,0,-0.30833308,-0.260214285,-0.630254423,-0.67389092,-0.554085573,0.05231627,-0.399568878,-0.46143642,-0.296388339,-0.442632381,-0.501642717,-0.343380179,-0.075852983,0.117041475,0.191197021,0.144785159,0.102098741,0.078226006,0.278468297,0.528662716,0.68074375,-1.5980575
48,C-S48_20240305,321.3,5.02,0.0331175,0.0588575,0.0734325,0.2591675,0.1614325,0.086385,321.3,0,0,-0.279858657,-0.378366964,-0.773388987,-0.659547674,-0.445743813,-0.110174616,-0.629856143,-0.465636207,-0.189527859,-0.558433554,-0.374683329,-0.081045568,0.232370423,0.500018087,0.302833739,0.094109178,0.065742326,0.044149895,0.20772752,0.562672557,0.6773475,-1.44326
49,C-S49_20240305,816.2,5.23,0.02803,0.06213,0.07258,0.19314,0.1146275,0.063615,816.2,0,0,-0.378216504,-0.442798927,-0.746529819,-0.607030826,-0.388291778,-0.077574048,-0.513221295,-0.297002956,-0.011809615,-0.453710673,-0.224603715,0.065824737,0.255103284,0.504469241,0.286197175,0.095540532,0.067152032,0.04173133,0.165331885,0.451150813,0.513915,-1.13119
50,C-S50_20240305,922.4,4.97,0.05663,0.0915275,0.089355,0.2351875,0.2597725,0.16212,922.4,0,0,-0.235543256,-0.224166866,-0.611880713,-0.642038227,-0.48224,0.012010559,-0.439710451,-0.47892115,-0.278309465,-0.449347928,-0.488123966,-0.289352818,-0.04967068,0.183906672,0.231462991,0.127912467,0.090434727,0.07199446,0.240905645,0.618721149,0.6337325,-1.454865
51,C-S51_20240305,930.8,5.36,0.054155,0.0876225,0.087045,0.262275,0.2690125,0.1638525,930.8,0,0,-0.236056497,-0.232932011,-0.657712606,-0.664848724,-0.50318223,0.003306282,-0.499153323,-0.508615251,-0.303131524,-0.501631742,-0.511062118,-0.30613099,-0.012681458,0.230969604,0.242939485,0.123509249,0.087333273,0.068885387,0.264015063,0.618049017,0.69949875,-1.5753975
52,C-S52_20240305,926.6,4.39,0.032155,0.051075,0.0703525,0.309905,0.1783175,0.0856425,926.6,0,0,-0.227321879,-0.372631271,-0.811992048,-0.694449394,-0.454063117,-0.158757283,-0.717020334,-0.554693375,-0.252838883,-0.629974425,-0.434169783,-0.098015962,0.269523629,0.566967305,0.351094863,0.086937506,0.059943756,0.040525506,0.224986999,0.629564366,0.8003,-1.664195
53,C-S53_20240305,29.3,5.38,0.060425,0.098595,0.08941,0.20887,0.25023,0.179225,29.3,0,0,-0.2400327,-0.193446124,-0.551235634,-0.610983245,-0.495722929,0.048855084,-0.358658709,-0.434702215,-0.290223886,-0.400496178,-0.473501354,-0.334338415,-0.090089305,0.076385936,0.165337463,0.133098167,0.093890249,0.077185509,0.230327006,0.612860693,0.5714725,-1.358505
54,C-S54_20240305,1404,4.81,0.04893,0.086275,0.0826175,0.2210525,0.2560875,0.1614325,1404,0,1,-0.276210199,-0.256086205,-0.637532062,-0.679165949,-0.534803019,0.021655787,-0.438546827,-0.496002045,-0.303412291,-0.455873152,-0.512156596,-0.322946118,-0.073427086,0.155875394,0.226707703,0.119453032,0.084426446,0.064972577,0.230838556,0.567139959,0.59576875,-1.3714025
55,C-S55_20240305,3312,5.1,0.0454925,0.0727725,0.0832225,0.289445,0.2288075,0.12714,3312,1,2,-0.230668414,-0.293128229,-0.728352305,-0.66830113,-0.472955556,-0.066989327,-0.598183412,-0.517391737,-0.271956481,-0.553368619,-0.466573727,-0.208770575,0.117003777,0.389608363,0.285624987,0.110552346,0.077822294,0.057537839,0.253100258,0.62513312,0.75999875,-1.6446425
56,T-S01_20240217,1245,4.7,0.0647975,0.0997225,0.0960375,0.249295,0.273605,0.1738075,1245,0,0,-0.212284221,-0.194236329,-0.587398617,-0.617038881,-0.456863854,0.01882407,-0.42855301,-0.465763974,-0.270847805,-0.44379692,-0.48037631,-0.288202487,-0.046490725,0.178414214,0.223054787,0.138447746,0.097862657,0.080385127,0.258860556,0.649778134,0.67309875,-1.5530125
57,T-S02_20240217,756.4,5.27,0.0651825,0.1093475,0.098815,0.23153,0.2788025,0.1856325,756.4,0,0,-0.253051051,-0.205079346,-0.560635295,-0.621015451,-0.480234436,0.05059749,-0.358435215,-0.436570913,-0.258610753,-0.401746659,-0.476639721,-0.305214495,-0.092630785,0.110023073,0.200609343,0.14738141,0.103947935,0.08442478,0.256208336,0.596104163,0.63349875,-1.5067575
59,T-S04_20240217,2745,7.32,0.0634225,0.1021425,0.0949375,0.208705,0.2486075,0.1668775,2745,1,1,-0.233865853,-0.199008588,-0.533876584,-0.593484601,-0.449218411,0.036558758,-0.342812794,-0.417576622,-0.240632667,-0.374675811,-0.447306757,-0.274774173,-0.087254339,0.11136701,0.196709869,0.139449701,0.098474127,0.080486848,0.224544047,0.620921751,0.57283375,-1.3643625
60,T-S05_20240217,4485,5.02,0.0605075,0.09502,0.09018,0.2142875,0.2404125,0.155905,4485,1,2,-0.221906094,-0.196914144,-0.559617169,-0.597849927,-0.440813262,0.026133909,-0.385595241,-0.433447862,-0.242642224,-0.407621503,-0.454434084,-0.267082512,-0.057455465,0.15770849,0.213231815,0.131000889,0.092568373,0.075824947,0.225788404,0.636786992,0.58322875,-1.3661775
62,T-S07_20240217,6410,5.3,0.066585,0.1109975,0.10041,0.2102725,0.25276,0.183295,6410,1,2,-0.250095026,-0.202550975,-0.518994429,-0.582990183,-0.467064191,0.050081005,-0.309008,-0.389717051,-0.245665452,-0.353616634,-0.431378656,-0.292152059,-0.091759218,0.068546056,0.159303299,0.149675025,0.105571109,0.085969579,0.232444197,0.599878376,0.58118,-1.40553
63,T-S08_20240218,924.4,5.68,0.0537975,0.0777775,0.081545,0.221135,0.1977875,0.1195775,924.4,0,0,-0.182253468,-0.205016902,-0.608649396,-0.572331419,-0.379408796,-0.023647005,-0.479596872,-0.435505235,-0.211801069,-0.461180124,-0.416143843,-0.18910117,0.055732266,0.298073889,0.246435492,0.112689514,0.079638974,0.064685663,0.210918235,0.691684613,0.59172625,-1.3314725
64,T-S09_20240218,160.2,6.24,0.0497,0.0808025,0.08116,0.2367,0.2172575,0.13242,160.2,0,0,-0.238328768,-0.240409598,-0.652932961,-0.627656088,-0.454206018,-0.002207301,-0.491011882,-0.457810508,-0.242082801,-0.489334927,-0.456064071,-0.240003746,0.042828899,0.282509753,0.242616411,0.114525061,0.080981053,0.063371005,0.235657365,0.615079979,0.63215125,-1.4251925
65,T-S10_20240218,130.8,6.37,0.056575,0.09469,0.096615,0.2659325,0.249515,0.1564,130.8,0,0,-0.251975011,-0.261374763,-0.649155446,-0.630337482,-0.468716986,-0.010062466,-0.474852512,-0.449804622,-0.24576845,-0.467021563,-0.441741542,-0.236290339,0.031850964,0.25935134,0.229395317,0.135279911,0.095647657,0.073192122,0.260633943,0.597475974,0.71217625,-1.6098825
66,T-S11_20240218,405.1,6.33,0.0669975,0.1145725,0.1032425,0.22196,0.267775,0.1986125,405.1,0,0,-0.262020158,-0.21290531,-0.536281287,-0.599743109,-0.495519747,0.05201662,-0.319099938,-0.400689164,-0.268339799,-0.365057157,-0.443462909,-0.315946398,-0.093550594,0.055513615,0.148294069,0.154226689,0.108760063,0.08761319,0.246318252,0.584760741,0.61218625,-1.4761775
67,T-S12_20240218,6372,5.69,0.0541825,0.09909,0.09238,0.1723225,0.1794175,0.1273325,6372,1,2,-0.292991241,-0.260622601,-0.52157789,-0.536108733,-0.402996997,0.035044655,-0.269819924,-0.288421317,-0.124733629,-0.302008859,-0.320229215,-0.159082892,-0.020171149,0.150139327,0.169796251,0.135472848,0.095676195,0.073273078,0.184839105,0.546800888,0.48035125,-1.1723025
68,T-S13_20240218,1132,6.9,0.0640825,0.1047275,0.0908125,0.2190175,0.27729,0.1842575,1132,0,0,-0.240773651,-0.172568514,-0.547280113,-0.624559682,-0.483913184,0.071161911,-0.353024757,-0.4517136,-0.275204595,-0.413791434,-0.506591235,-0.339713527,-0.117412088,0.086194284,0.201566469,0.138617313,0.097522131,0.081921914,0.252577071,0.611897544,0.5999075,-1.4371
70,T-S15_20240218,1428,4.93,0.04717,0.0796475,0.081985,0.21371,0.16608,0.1056075,1428,0,1,-0.256096359,-0.269559831,-0.638377798,-0.557608441,-0.382500695,-0.014461819,-0.4569936,-0.351741258,-0.140131171,-0.445475913,-0.33900389,-0.125924544,0.125411412,0.33854236,0.22258109,0.114303388,0.080807798,0.061294148,0.207616847,0.592234533,0.57409875,-1.3028175
71,T-S16_20240218,142.4,5.29,0.040955,0.0690875,0.075275,0.2462425,0.1904725,0.102885,142.4,0,0,-0.255651226,-0.295276607,-0.714795568,-0.646066263,-0.430547831,-0.042860854,-0.561808264,-0.467656804,-0.196528515,-0.531751771,-0.433484793,-0.154973058,0.127703422,0.410616465,0.298569152,0.102173423,0.072114919,0.053192843,0.22600171,0.592798987,0.65015,-1.4261
72,T-S17_20240218,8242,3.89,0.08083,0.137865,0.1168275,0.2068625,0.27223,0.193635,8242,1,2,-0.260797,-0.182120587,-0.43808059,-0.542117487,-0.410999581,0.082599605,-0.200150844,-0.327643595,-0.168235294,-0.278151935,-0.399433246,-0.247397029,-0.136440249,0.033027672,0.168707673,0.180708115,0.126911084,0.105563384,0.244112889,0.58629819,0.58608875,-1.4899825
73,T-S18_20240218,5867,5.4,0.0541825,0.09909,0.09238,0.1723225,0.1794175,0.1273325,5867,1,2,-0.292991241,-0.260622601,-0.52157789,-0.536108733,-0.402996997,0.035044655,-0.269819924,-0.288421317,-0.124733629,-0.302008859,-0.320229215,-0.159082892,-0.020171149,0.150139327,0.169796251,0.135472848,0.095676195,0.073273078,0.184839105,0.546800888,0.48035125,-1.1723025
74,T-S19_20240219,8127,7.65,0.042165,0.07852,0.07863,0.189235,0.1791975,0.105415,8127,1,2,-0.301238762,-0.301875078,-0.635566119,-0.619041166,-0.428581109,-0.000699968,-0.413493679,-0.390650615,-0.146220132,-0.412913221,-0.390057306,-0.145535059,0.027243796,0.284473104,0.259238438,0.111121858,0.078574981,0.057539515,0.188970268,0.536996943,0.5123475,-1.181515
75,T-S20_20240219,578.3,6.53,0.0651825,0.102995,0.0943875,0.2045525,0.263925,0.18192,578.3,0,0,-0.224836854,-0.183023125,-0.516692309,-0.60388323,-0.472425411,0.043608223,-0.330217284,-0.438596969,-0.277012442,-0.368518766,-0.473155416,-0.31679379,-0.126735009,0.058561735,0.183931635,0.13970315,0.098597366,0.081935777,0.223206301,0.632870528,0.56287875,-1.3489625
76,T-S21_20240219,6652,6.33,0.051845,0.084735,0.082425,0.174165,0.204415,0.131595,6652,1,2,-0.240811246,-0.227750056,-0.54121499,-0.595371888,-0.434747056,0.013819095,-0.345422943,-0.413902819,-0.216613507,-0.357535368,-0.42528936,-0.229744884,-0.079903851,0.139226845,0.21671974,0.118211255,0.083572019,0.06628036,0.179046057,0.611848705,0.47778,-1.12965
77,T-S22_20240219,753.6,5.4,0.0741475,0.11845,0.1021425,0.210795,0.298575,0.2223175,753.6,0,0,-0.23002635,-0.15880084,-0.479561666,-0.602130271,-0.499789183,0.073925904,-0.280475026,-0.431928541,-0.304804596,-0.347201917,-0.49020195,-0.370384639,-0.172330526,-0.026603942,0.146397769,0.156408097,0.10999445,0.093716441,0.24444935,0.625981427,0.5862125,-1.44194
80,T-S25_20240219,3630,7.29,0.0532475,0.102555,0.0966425,0.1666575,0.18885,0.1277175,3630,1,2,-0.316474383,-0.289512309,-0.515722698,-0.560115243,-0.411516039,0.029681597,-0.238111158,-0.296134246,-0.10927271,-0.265913407,-0.322976961,-0.138505081,-0.062424843,0.132280255,0.193110474,0.140915935,0.099554867,0.073897208,0.176853454,0.519209205,0.46792125,-1.1527775
