"","Name","EC","EC_bin","pH","Soil_Moisture_Lab","Blue","Green","Red","NIR","SWIR1","SWIR2","NDVI","NDWI","NDSI1","NDSI2","SI1","SI2","SI3","SI4","SI5","SAVI","VSSI","NBR","NBG","NBNIR","NBSWIR1","NBSWIR2","NRSWIR1","NRSWIR2","NGSWIR1","NGSWIR2","NNIRSWIR1","NNIRSWIR2"
"1","C-S01_20240213",488,0,6.04,NA,0.048627499,0.0852025,0.090235002,0.221190006,0.225837499,0.158077493,0.0286854403569882,-0.443834308401786,0.176497421074924,-0.420502530740884,0.124104075646975,0.0876826536887713,0.0662412444744209,0.234254636117368,0.538898408845827,0.598092516,-1.38672004,-0.299630949323029,-0.27329448758346,-0.639552674686544,-0.645656099288843,-0.529498552216872,-0.429023393591586,-0.273214165078564,-0.452144416962913,-0.299551936438933,-0.0103964363445601,0.166406331062921
"2","C-S02_20240213",678.2,0,6.61,NA,0.053522501,0.088859998,0.095679998,0.216845006,0.237662494,0.173120007,0.0369567581436385,-0.418655260219424,0.157120828766754,-0.387697004877088,0.130578563561712,0.0922069651974297,0.0715613917460735,0.233487848383589,0.559390699401979,0.589952514,-1.384905024,-0.282552217841874,-0.248187082318312,-0.604075936536264,-0.632381462513204,-0.527692298569163,-0.425935784988372,-0.288095266218466,-0.455718976933448,-0.321627633376066,-0.0458022980918907,0.112125440853331
"3","C-S03_20240213",504.4,0,6.72,NA,0.054265,0.08292,0.089685,0.225342497,0.196302503,0.132035002,0.0391935343703833,-0.462016944604196,0.195736094784542,-0.430621130827827,0.122143872646154,0.0862361884593701,0.0697621424914688,0.243726987981729,0.605062162011485,0.6081987425,-1.409297485,-0.246057658909344,-0.208878521704268,-0.611848748104204,-0.566863225675358,-0.417444987467043,-0.372804762031857,-0.191006682383126,-0.406065062026896,-0.228489691065668,0.0688730899216166,0.261089450961768
"4","C-S04_20240213",370,0,6.52,NA,0.045960002,0.080775,0.088062502,0.193827495,0.2174225,0.159562498,0.0431628158061708,-0.411695075822235,0.15348091384793,-0.375199525082829,0.119497300737297,0.0843400770633392,0.0636188082884692,0.211314567206345,0.521902069055453,0.5285999885,-1.247899985,-0.314145003588353,-0.27470704580886,-0.616660563415448,-0.651001857367123,-0.552749679475483,-0.423457770931746,-0.288743042907622,-0.458244955105257,-0.327820247175911,-0.0573738730379802,0.0969608581983814
"5","C-S05_20240213",515.2,0,5.6,NA,0.045960002,0.080169998,0.078960001,0.210217506,0.239092499,0.150267497,-0.00760382710742054,-0.44784126799065,0.22813078619407,-0.453899427938564,0.11252515424224,0.0795626993147543,0.0602411968994641,0.207044716203903,0.582066887258525,0.5650237655,-1.285547539,-0.26416905385441,-0.271228066280821,-0.641186282442875,-0.677533073109224,-0.531564105599695,-0.50347819306561,-0.311077408348278,-0.497780047745476,-0.304193113191063,-0.0642651903555987,0.166303753279856
"6","C-S06_20240213",891.1,0,5.85,NA,0.057262499,0.091499999,0.099035002,0.2217675,0.256197512,0.174852505,0.0395465555433566,-0.415834714471928,0.188713615106991,-0.382579615915839,0.134833903148058,0.0951929754969609,0.0753059871656298,0.240030000503443,0.578204653340644,0.603936251,-1.421012512,-0.267262769607558,-0.230148730091908,-0.589560268034119,-0.634642397814501,-0.506602347860287,-0.442421523385666,-0.276819866048144,-0.473680448635711,-0.312940575921899,-0.0720345864981431,0.118287011266615
"7","C-S07_20240213",98.1,0,5.48,NA,0.049232502,0.086000003,0.094415002,0.202105001,0.232712507,0.173752502,0.0466424563744018,-0.402995423154816,0.145055548926722,-0.3631795423933,0.127711366442694,0.0901093250182522,0.0681783453509617,0.221880737302125,0.521447873294543,0.5524700035,-1.310600009,-0.314537313505983,-0.271883605202758,-0.608235926494424,-0.650765217127855,-0.558423202306465,-0.4227632993103,-0.295850536760039,-0.460328664224696,-0.337831194351716,-0.0703916135778047,0.0754341705931038
"8","C-S08_20240213",177.3,0,5.31,NA,0.056052499,0.092902496,0.095817499,0.236562505,0.254575014,0.174082503,0.0154461799344579,-0.436040273060749,0.187778139441796,-0.423446068675058,0.133461106235656,0.0943487404133065,0.0732858121799848,0.243985130241011,0.58499229874493,0.639315012,-1.476095028,-0.261835784049987,-0.247390139551883,-0.61688568095435,-0.63910151770748,-0.512872891886302,-0.453084780952497,-0.2899777822158,-0.465274768430337,-0.304062053314089,-0.0366750824426427,0.15215088649026
"9","C-S09_20240213",283.9,0,5.79,NA,0.061332501,0.099392503,0.103132501,0.248744994,0.273467511,0.184147507,0.0184668457036545,-0.42900432239277,0.195185910616246,-0.413815873618175,0.143231220113214,0.101245234036176,0.0795322212736134,0.258104913027998,0.594696147240723,0.6734287355,-1.560602469,-0.254157416421033,-0.236801997528648,-0.60440533744637,-0.633617091985051,-0.500305532008945,-0.452296878843435,-0.282007114118432,-0.46686424251435,-0.298917263916299,-0.0473418709113448,0.149222929135471
"10","C-S10_20240214",139.5,0,6.09,NA,0.042907499,0.0763475,0.073514998,0.226937503,0.190885007,0.123125002,-0.0189006725351662,-0.496529671795212,0.215789315811268,-0.51063813577641,0.105987714793697,0.0749178637562831,0.0561635531565623,0.21851809265752,0.583656398929644,0.6041012565,-1.349567505,-0.262900210772837,-0.280407540819316,-0.681984111753161,-0.63294376082354,-0.483143375645471,-0.443910766945712,-0.25228846623271,-0.428606191237056,-0.234506017275504,0.0862866292196656,0.296554185373266
"11","C-S11_20240214",417.2,0,6.01,NA,0.042907499,0.0763475,0.073514998,0.226937503,0.190885007,0.123125002,-0.0189006725351662,-0.496529671795212,0.215789315811268,-0.51063813577641,0.105987714793697,0.0749178637562831,0.0561635531565623,0.21851809265752,0.583656398929644,0.6041012565,-1.349567505,-0.262900210772837,-0.280407540819316,-0.681984111753161,-0.63294376082354,-0.483143375645471,-0.443910766945712,-0.25228846623271,-0.428606191237056,-0.234506017275504,0.0862866292196656,0.296554185373266
"12","C-S12_20240214",478.7,0,6.05,NA,0.038122501,0.069224998,0.066997498,0.215882495,0.169957504,0.100465,-0.0163519247217434,-0.514393695713918,0.256977518409489,-0.526318582735542,0.0963367276087371,0.0681021414131377,0.0505382249836943,0.208935896639499,0.569013801082542,0.5732049865,-1.275949969,-0.274686047133619,-0.289736577840533,-0.699828730927796,-0.633578430565686,-0.44984214702017,-0.434512903846613,-0.199850727175944,-0.421153325003683,-0.184100432366084,0.119025998131417,0.36484403013844
"13","C-S13_20240214",181.8,0,6.07,NA,0.059132501,0.0940025,0.105360001,0.206670001,0.260845006,0.208100006,0.0569690937013275,-0.374718341801401,0.112475873823774,-0.324680317118993,0.141199149490958,0.099519362407536,0.0789316182812217,0.231640132039361,0.561242411149939,0.569355003,-1.37214501,-0.281031046630928,-0.227707570263444,-0.555064376331567,-0.630395889046038,-0.557445299871396,-0.424584596135792,-0.327761126477612,-0.470180861296514,-0.37767811830068,-0.115878643869928,-0.00344770589933233
"14","C-S14_20240214",513,0,6.42,NA,0.057675,0.097797498,0.110145003,0.224270001,0.264034986,0.193305001,0.059379419505972,-0.392689431230067,0.154655151551399,-0.341267576618661,0.147296545448052,0.103787791722353,0.0797032812876923,0.252585397767078,0.523627930719653,0.615747504,-1.476480024,-0.312656429877432,-0.25806813755575,-0.590877654894119,-0.641447250568094,-0.540401627458755,-0.411272616184721,-0.274048432703267,-0.45943218298775,-0.328088914825839,-0.0814347304628286,0.0741543431759356
"15","C-S15_20240214",1080,0,4.65,NA,0.054595001,0.090042502,0.097989999,0.234527498,0.264254987,0.178949997,0.0422666132595875,-0.445158196999106,0.192472993489622,-0.410617486994978,0.133077767002757,0.0939322345147687,0.0731420815495088,0.255227795585828,0.557148704532592,0.6353137445,-1.482502481,-0.284398846544549,-0.245078214603857,-0.622340003363073,-0.65755055320874,-0.532466963818253,-0.458984925743044,-0.292337687475088,-0.491712446203648,-0.330520350309099,-0.0596001060462257,0.134414815007042
"16","C-S16_20240214",786,0,4.86,NA,0.054595001,0.090042502,0.097989999,0.234527498,0.264254987,0.178949997,0.0422666132595875,-0.445158196999106,0.192472993489622,-0.410617486994978,0.133077767002757,0.0939322345147687,0.0731420815495088,0.255227795585828,0.557148704532592,0.6353137445,-1.482502481,-0.284398846544549,-0.245078214603857,-0.622340003363073,-0.65755055320874,-0.532466963818253,-0.458984925743044,-0.292337687475088,-0.491712446203648,-0.330520350309099,-0.0596001060462257,0.134414815007042
