,Iteration,Model_Type,Accuracy_Train,Accuracy_Test,Precision,Recall,F1_Score
32,11,Random Forest,1,0.818181818,0.8,0.571428571,0.666666667
33,11,ANN,0.916666667,0.727272727,0.6,0.428571429,0.5
34,12,Logistic,0.916666667,0.727272727,0.555555556,0.714285714,0.625
35,12,Random Forest,1,0.863636364,0.833333333,0.714285714,0.769230769
36,12,ANN,0.94047619,0.772727273,0.625,0.714285714,0.666666667
37,13,Logistic,0.988095238,0.727272727,0.5,0.666666667,0.571428571
38,13,Random Forest,0.988095238,0.818181818,0.75,0.5,0.6
39,13,ANN,0.904761905,0.818181818,1,0.333333333,0.5
40,14,Logistic,0.880952381,0.727272727,0.5,0.666666667,0.571428571
41,14,Random Forest,0.988095238,0.909090909,0.833333333,0.833333333,0.833333333
42,14,ANN,0.928571429,0.818181818,0.625,0.833333333,0.714285714
43,15,Logistic,1,0.909090909,1,0.666666667,0.8
44,15,Random Forest,1,0.909090909,1,0.666666667,0.8
45,15,ANN,1,0.818181818,0.625,0.833333333,0.714285714
46,16,Logistic,0.952380952,0.909090909,1,0.714285714,0.833333333
47,16,Random Forest,0.988095238,0.772727273,0.75,0.428571429,0.545454545
48,16,ANN,0.928571429,0.772727273,0.75,0.428571429,0.545454545
49,17,Logistic,0.952380952,0.636363636,0.444444444,0.571428571,0.5
50,17,Random Forest,1,0.863636364,0.75,0.857142857,0.8
51,17,ANN,0.952380952,0.818181818,0.714285714,0.714285714,0.714285714
52,18,Logistic,0.988095238,0.772727273,0.4,0.5,0.444444444
53,18,Random Forest,0.988095238,0.863636364,0.666666667,0.5,0.571428571
54,18,ANN,0.964285714,0.818181818,0.5,0.75,0.6
55,19,Logistic,0.988095238,0.590909091,0.166666667,0.2,0.181818182
56,19,Random Forest,0.988095238,0.818181818,1,0.2,0.333333333
57,19,ANN,0.928571429,0.5,0.125,0.2,0.153846154
58,20,Logistic,0.988095238,0.681818182,0.5,0.714285714,0.588235294
59,20,Random Forest,0.988095238,0.954545455,0.875,1,0.933333333
60,20,ANN,0.928571429,0.818181818,0.714285714,0.714285714,0.714285714
61,21,Logistic,0.988095238,0.818181818,0.75,0.75,0.75
62,21,Random Forest,0.988095238,0.818181818,0.833333333,0.625,0.714285714
