,Iteration,Model_Type,R2_Train,R2_Test,RMSE_Train,RMSE_Test,CI_Lower_Test,CI_Upper_Test
60,6,ANN,-7.248544825,-26.40903428,4950.410359,9478.974362,-6340.738881,-145.0805755
61,7,Lasso,0.310235029,0.528036497,1441.022689,1218.987243,1142.363526,2080.749423
62,7,Ridge,0.296716271,0.485684938,1455.075526,1272.505225,1129.119684,2109.196744
63,7,Log-Linear,-0.202090838,0.53620461,1902.343307,1208.392905,918.6082124,1817.438075
64,7,OLS,0.4363317,0.739879133,1302.662937,904.9665969,1314.552256,2012.316024
65,7,Quadratic_all,0.526921412,0.424383468,1193.402374,1346.206186,1015.137103,2046.402399
66,7,Quadratic_correlated,0.477255082,0.676627705,1254.484099,1009.01206,1308.407258,2086.63962
67,7,Stepwise,0.421592214,0.665794261,1319.584836,1025.774514,1194.64918,1982.123544
68,7,RandomForest,0.675828151,0.747741528,987.8884334,891.1849287,1336.263389,2023.623257
69,7,Bagging,0.698312645,0.774520951,953.0129565,842.5545922,1387.941397,2037.533417
70,7,ANN,-6.477202672,-5.863903773,4744.493188,4648.689571,-2033.516433,1154.676507
71,8,Lasso,0.409915225,-0.318800695,1441.844808,1027.110069,1160.906369,1887.803137
72,8,Ridge,0.35769443,-0.157822119,1504.292039,962.3838454,1263.455428,1910.712663
73,8,Log-Linear,0.18307138,-104.675361,1696.498066,9194.206917,-324.0264155,6594.473927
74,8,OLS,0.583832586,-1.794958895,1210.863948,1495.254492,1141.251682,2210.623029
75,8,Quadratic_all,0.607372056,-2.534199481,1176.120761,1681.407315,805.8119735,2078.095799
76,8,Quadratic_correlated,0.585089547,-1.522234418,1209.033965,1420.430951,1044.334378,2083.95927
77,8,Stepwise,0.570525394,-1.764019052,1230.070656,1486.955321,942.12021,2050.836578
78,8,RandomForest,0.744084161,-0.10992209,949.5326352,942.2662823,1025.292773,1724.1303
79,8,Bagging,0.760317787,-0.292445915,918.9231993,1016.795446,1005.493938,1762.063269
80,8,ANN,-5.615838123,-44.51852151,4827.849778,6034.224681,-2017.648991,2592.580126
81,9,Lasso,0.435474032,0.180720011,1302.454596,1585.43761,1118.740498,2331.173458
82,9,Ridge,0.377739169,0.18989591,1367.435538,1576.534195,1069.798318,2268.846736
83,9,Log-Linear,0.321965345,-4.489963412,1427.402904,4104.09786,840.8134932,3984.561789
84,9,OLS,0.544372803,0.253824988,1170.106658,1513.050187,1349.827148,2516.86847
85,9,Quadratic_all,0.568401668,0.12504229,1138.834222,1638.424803,1384.900622,2646.97524
86,9,Quadratic_correlated,0.541204508,0.085991135,1174.167895,1674.588817,1272.235191,2563.831687
87,9,Stepwise,0.533475269,0.182922503,1184.017076,1583.305089,1284.565406,2505.468258
88,9,RandomForest,0.743844995,0.40894292,877.3483296,1346.628169,1078.297901,2080.833174
89,9,Bagging,0.754246503,0.439180606,859.3507955,1311.730132,1080.883244,2052.704165
90,9,ANN,-6.314137082,-11.14100528,4688.157335,6103.238011,-948.5866041,3740.784689
91,10,Lasso,0.321705929,0.41658649,1391.718164,1473.542524,1143.25214,2277.280772
92,10,Ridge,0.304385696,0.372236954,1409.374912,1528.524154,1110.490092,2286.394328
93,10,Log-Linear,-0.098478366,0.218058223,1771.079429,1705.931705,721.6316273,1990.251294
94,10,OLS,0.466460332,0.583131519,1234.313963,1245.5867,1153.842329,2104.55268
95,10,Quadratic_all,0.570261547,0.431073451,1107.756719,1455.132473,1205.296355,2327.186785
96,10,Quadratic_correlated,0.492079307,0.595935287,1204.315395,1226.308942,1330.207801,2276.071443
97,10,Stepwise,0.455407794,0.553624386,1247.033141,1288.916142,1163.326572,2150.572688
98,10,RandomForest,0.666497838,0.733244801,975.8692004,996.3934832,1399.658846,2167.953989
99,10,Bagging,0.681972978,0.755785304,952.9591761,953.3674712,1422.915175,2158.129973
100,10,ANN,-7.141165422,-303.0123188,4821.537783,33637.2144,-23982.64198,-389.8789938
101,11,Lasso,0.361531413,0.409828879,1311.967128,1596.95967,1053.813399,2276.529817
102,11,Ridge,0.316886606,0.351349282,1357.061678,1674.211893,1010.553806,2291.985393
103,11,Log-Linear,0.339693014,-5.083143267,1334.215963,5127.067011,231.7995261,4177.368831
104,11,OLS,0.530289137,0.395567172,1125.300439,1616.140051,1240.643221,2487.192872
105,11,Quadratic_all,0.58100212,0.334838792,1062.818484,1695.385358,1130.168753,2436.569122
106,11,Quadratic_correlated,0.540432957,0.456557986,1113.083192,1532.433286,1280.722785,2462.670564
107,11,Stepwise,0.529388333,0.384518391,1126.378965,1630.844343,1231.463912,2489.361612
