,Iteration,Model_Type,R2_Train,R2_Test,RMSE_Train,RMSE_Test,CI_Lower_Test,CI_Upper_Test
60,7,Stepwise,0.244190246,0.372999856,1473.092212,1498.509948,859.1333259,2253.012341
61,7,RandomForest,0.300169755,0.292588033,1417.490123,1591.702914,820.1695142,2301.535494
62,7,Bagging,0.382586849,0.576938177,1331.40942,1230.914049,902.8814949,2035.825125
63,7,ANN,-5.089262438,-4.017752841,4181.249021,4239.166191,-712.4440933,3223.201691
64,8,Lasso,0.383230785,0.044460813,1390.205097,1559.104209,1068.637041,2518.658713
65,8,Ridge,0.31139378,0.157618518,1468.936434,1463.879396,1042.412415,2407.141167
66,8,Quantile Regression,0.338367565,-0.002346234,1439.878761,1463.879396,736.3759045,2214.678581
67,8,Log-Linear,0.268070917,0.112437895,1514.439868,1502.623818,551.3706872,1888.071776
68,8,OLS,0.386246635,0.008471031,1386.802051,1588.194166,1060.691457,2537.531687
69,8,Stepwise,0.386246635,0.008471031,1386.802051,1588.194166,1060.691457,2537.531687
70,8,RandomForest,0.387365677,0.260647774,1385.537212,1371.439283,1118.123122,2395.072557
71,8,Bagging,0.469409199,0.239984996,1289.428872,1390.471129,1249.141715,2530.297178
72,8,ANN,-5.994947158,-15.49811724,4681.766515,6478.404865,-1110.425233,4929.041895
73,9,Lasso,0.36564624,0.003544567,1409.900703,1531.647773,1292.986305,2570.651827
74,9,Ridge,0.259886633,0.072913802,1522.901771,1477.372538,1173.192474,2447.028568
75,9,Quantile Regression,0.313429968,0.165202204,1466.780709,1477.372538,963.9449064,2230.124464
76,9,Log-Linear,0.272119464,0.319709873,1510.263829,1265.543414,696.8390433,1876.818376
77,9,OLS,0.365661522,0.002007178,1409.88372,1532.828875,1294.228579,2572.422353
78,9,Stepwise,0.365661522,0.002007178,1409.88372,1532.828875,1294.228579,2572.422353
79,9,RandomForest,0.4137545,0.006422623,1355.384543,1529.434249,1180.695514,2496.143232
80,9,Bagging,0.537173949,-0.205440959,1204.291625,1684.623815,1051.811159,2537.687642
81,9,ANN,-5.45483246,-138.1248792,4497.438724,18098.07419,-4136.285559,12521.628
82,10,Lasso,0.251838846,0.199262723,1349.714758,1855.626908,1058.66659,2674.315017
83,10,Ridge,0.212671508,0.078775721,1384.593865,1990.344834,870.019913,2563.578301
84,10,Quantile Regression,0.081351137,-0.120962627,1495.612856,1990.344834,393.4619055,2029.116108
85,10,Log-Linear,0.150958367,-0.133360648,1437.83454,2207.647363,402.6391384,2069.407111
86,10,OLS,0.260561434,0.277388895,1341.823729,1762.779348,1175.32392,2727.844083
87,10,Stepwise,0.25765498,0.250493267,1344.458243,1795.285021,1145.985884,2725.448459
88,10,RandomForest,0.310556002,0.008549483,1295.668548,2064.815064,736.0664272,2451.641902
89,10,Bagging,0.377259458,0.211227959,1231.39671,1841.71062,1057.967121,2656.28023
90,10,ANN,-7.766352264,-9.616385662,4620.126618,6756.689811,-837.2727462,5462.503874
