,Iteration,Model_Type,Accuracy_Train,Accuracy_Test,Precision,Recall,F1_Score
91,46,Random Forest,1,0.666666667,1,0.142857143,0.25
92,46,ANN,0.953125,0.588235294,0,0,NA
93,47,Random Forest,1,0.705882353,1,0.166666667,0.285714286
94,47,ANN,0.909090909,0.588235294,0.333333333,0.166666667,0.222222222
95,48,Random Forest,1,0.857142857,1,0.5,0.666666667
96,48,ANN,0.84057971,0.642857143,0.5,0.2,0.285714286
97,49,Random Forest,1,0.666666667,NA,0,NA
98,49,ANN,0.955882353,0.571428571,0,0,NA
99,50,Random Forest,1,0.777777778,1,0.2,0.333333333
100,50,ANN,0.835820896,0.8,1,0.25,0.4
101,51,Random Forest,1,0.666666667,NA,0,NA
102,51,ANN,0.941176471,0.733333333,0.6,0.6,0.6
103,52,Random Forest,1,0.785714286,1,0.25,0.4
104,52,ANN,0.928571429,0.666666667,0.5,0.4,0.444444444
105,53,Random Forest,0.985074627,0.764705882,0.5,0.25,0.333333333
106,53,ANN,0.880597015,0.6875,0.25,0.333333333,0.285714286
107,54,Random Forest,1,0.823529412,1,0.25,0.4
108,54,ANN,0.911764706,0.5,0,0,NA
109,55,Random Forest,1,0.722222222,1,0.166666667,0.285714286
110,55,ANN,0.938461538,0.705882353,1,0.166666667,0.285714286
111,56,Random Forest,1,0.833333333,1,0.333333333,0.5
112,56,ANN,0.956521739,0.466666667,0.166666667,0.25,0.2
113,57,Random Forest,1,0.833333333,0.5,0.5,0.5
114,57,ANN,0.888888889,0.692307692,0.333333333,0.333333333,0.333333333
115,58,Random Forest,1,0.684210526,0,0,NA
116,58,ANN,0.953846154,0.666666667,0,0,NA
117,59,Random Forest,1,0.666666667,1,0.25,0.4
118,59,ANN,0.878787879,0.705882353,1,0.166666667,0.285714286
119,60,Random Forest,1,0.666666667,0.5,0.2,0.285714286
120,60,ANN,0.880597015,0.6875,NA,0,NA
121,61,Random Forest,0.984848485,0.842105263,0.5,0.666666667,0.571428571
122,61,ANN,0.818181818,0.5625,0,0,NA
123,62,Random Forest,1,0.75,1,0.166666667,0.285714286
124,62,ANN,0.953846154,0.647058824,0,0,NA
125,63,Random Forest,1,0.733333333,0.5,0.25,0.333333333
126,63,ANN,0.84057971,0.8,0.6,0.75,0.666666667
127,64,Random Forest,0.984615385,0.789473684,0,0,NA
