,Iteration,Model_Type,R2_Train,R2_Test,RMSE_Train,RMSE_Test,CI_Lower_Test,CI_Upper_Test
59,6,Bagging,0.785882036,0.302265491,860.6678035,1189.312697,1526.681136,2347.481729
60,6,ANN,-5.627252085,-18.84922037,4788.238225,6343.40851,-2054.999183,2925.058493
61,7,Lasso,0.46300195,0.320059361,1349.272681,1279.871893,899.8173096,1908.899822
62,7,Ridge,0.433363556,0.360659266,1386.007641,1241.072607,913.468034,1891.389757
63,7,Log-Linear,0.475212629,-1127.618239,1333.844063,52144.02297,-7267.137827,33106.97021
64,7,OLS,0.690222394,-1.284936069,1024.798267,2346.216198,50.87933974,1851.233619
65,7,Quadratic_all,0.823363955,-31.55791841,773.8433213,8856.442705,-2915.216397,4069.016451
66,7,Quadratic_correlated,0.576749487,-0.555601302,1197.876705,1935.887658,878.1115094,2412.042404
67,7,Stepwise,0.67046171,-0.841159683,1056.978892,2106.089051,141.6221241,1742.040381
68,7,RandomForest,0.776144675,0.67284264,871.1583175,887.7881618,1190.557048,1894.902015
69,7,Bagging,0.759163654,0.654859214,903.596183,911.8620555,1194.387835,1917.806933
70,7,ANN,-5.773913652,-43.06878102,4792.180866,10303.77866,-6928.82507,273.1227707
71,8,Lasso,0.374904448,0.636543787,1408.386769,1089.301363,1392.175465,2252.911865
72,8,Ridge,0.350710409,0.589941682,1435.383509,1157.03051,1374.316616,2288.373739
73,8,Log-Linear,0.463709105,-9.346501126,1304.514601,5811.908292,1784.511891,6054.179401
74,8,OLS,0.633944454,-0.441340256,1077.760414,2169.228274,1891.754806,3441.969094
75,8,Quadratic_all,0.824908552,-6.766942552,745.3859443,5035.55153,-1019.716368,2928.363562
76,8,Quadratic_correlated,0.527644057,0.399612528,1224.287524,1400.031505,1617.020689,2676.144984
77,8,Stepwise,0.604416084,0.097860691,1120.386958,1716.164055,1880.523048,3099.256831
78,8,RandomForest,0.762079033,0.700398185,868.8905831,988.9952786,1569.378955,2333.159118
79,8,Bagging,0.7452409,0.672197227,899.1115675,1034.494795,1496.019356,2304.837818
80,8,ANN,-6.093370391,-10.92481383,4744.331767,6239.471452,-1077.799669,3865.512074
81,9,Lasso,0.449007366,0.343532717,1343.312241,1369.795399,1071.848319,2157.881756
82,9,Ridge,0.43639224,0.295622436,1358.602965,1418.900419,1103.09157,2226.015905
83,9,Log-Linear,0.451146196,0.036535311,1340.702487,1659.461042,373.5469871,1609.112124
84,9,OLS,0.717147681,0.233029707,962.4627895,1480.60234,587.125894,1715.098319
85,9,Quadratic_all,0.915901654,-31.86046543,524.8048051,9691.388758,-172.1931283,7347.365294
86,9,Quadratic_correlated,0.615750185,0.197001263,1121.788308,1514.978924,844.9453873,2043.094958
87,9,Stepwise,0.682639649,0.056024144,1019.483989,1642.591621,466.0662547,1713.683874
88,9,RandomForest,0.801810295,0.32918876,805.6466787,1384.6797,935.8962512,2032.629395
89,9,Bagging,0.784861658,0.322853856,839.3884412,1391.202549,943.4103247,2045.769878
90,9,ANN,-5.932145293,-9.949672944,4764.725704,5594.351287,-1969.691718,2330.806948
91,10,Lasso,0.483568543,0.260332508,1250.292381,1629.83428,1215.349588,2491.514804
92,10,Ridge,0.464319724,0.248889195,1273.380129,1642.393384,1187.384422,2470.333152
93,10,Log-Linear,0.380382762,-4901.806923,1369.515608,132692.8669,-12949.35797,88458.52241
94,10,OLS,0.720206032,-0.553450953,920.2893883,2361.967703,1328.709006,3198.982488
95,10,Quadratic_all,0.940791968,-39.377276,423.3460896,12041.86323,3106.612759,11691.8496
96,10,Quadratic_correlated,0.605915493,-0.048023058,1092.194339,1940.039627,1401.627756,2940.204713
97,10,Stepwise,0.686805484,-0.513894499,973.6711799,2331.70169,1188.082126,3038.007213
98,10,RandomForest,0.807600509,0.372197713,763.1452396,1501.539041,1284.827113,2460.337507
99,10,Bagging,0.799136822,0.353464785,779.7500396,1523.776509,1273.162663,2466.172354
100,10,ANN,-6.97120532,-13.22410894,4912.100441,7147.229323,-697.7208618,4972.726605
101,11,Lasso,0.532156839,0.111126833,1246.629662,1547.683468,1413.011905,2614.332628
102,11,Ridge,0.479817494,0.130883521,1314.513906,1530.386895,1403.047256,2592.932885
