,Iteration,Model_Type,Accuracy_Train,Accuracy_Test,Precision,Recall,F1_Score
79,27,Logistic,0.880952381,0.909090909,0.666666667,1,0.8
80,27,Random Forest,0.988095238,0.863636364,0.6,0.75,0.666666667
81,27,ANN,0.916666667,0.863636364,0.666666667,0.5,0.571428571
82,28,Logistic,0.880952381,0.818181818,0.6,0.6,0.6
83,28,Random Forest,1,0.863636364,1,0.4,0.571428571
84,28,ANN,0.964285714,0.545454545,0.272727273,0.6,0.375
85,29,Logistic,0.904761905,0.727272727,0.625,0.625,0.625
86,29,Random Forest,1,0.681818182,0.571428571,0.5,0.533333333
87,29,ANN,0.964285714,0.681818182,0.571428571,0.5,0.533333333
88,30,Logistic,0.904761905,0.909090909,1,0.666666667,0.8
89,30,Random Forest,0.988095238,0.818181818,1,0.333333333,0.5
90,30,ANN,0.964285714,0.909090909,1,0.666666667,0.8
91,31,Logistic,0.916666667,0.818181818,1,0.5,0.666666667
92,31,Random Forest,0.988095238,0.818181818,0.833333333,0.625,0.714285714
93,31,ANN,0.952380952,0.590909091,0.428571429,0.375,0.4
94,32,Logistic,0.928571429,0.818181818,0.8,0.571428571,0.666666667
95,32,Random Forest,1,0.772727273,0.75,0.428571429,0.545454545
96,32,ANN,0.952380952,0.727272727,0.6,0.428571429,0.5
97,33,Logistic,0.880952381,0.909090909,0.6,1,0.75
98,33,Random Forest,1,0.909090909,0.6,1,0.75
99,33,ANN,0.964285714,0.863636364,0.5,1,0.666666667
100,34,Logistic,0.892857143,0.909090909,0.75,1,0.857142857
101,34,Random Forest,0.988095238,0.772727273,0.571428571,0.666666667,0.615384615
102,34,ANN,0.964285714,0.727272727,0.5,0.5,0.5
103,35,Logistic,0.916666667,0.727272727,0.5,0.833333333,0.625
104,35,Random Forest,1,0.863636364,0.8,0.666666667,0.727272727
105,35,ANN,0.988095238,0.681818182,0.4,0.333333333,0.363636364
106,36,Logistic,0.916666667,0.863636364,0.75,0.6,0.666666667
107,36,Random Forest,0.988095238,0.681818182,0.333333333,0.4,0.363636364
108,36,ANN,0.952380952,0.818181818,0.6,0.6,0.6
109,37,Logistic,0.892857143,0.863636364,1,0.25,0.4
110,37,Random Forest,1,0.909090909,1,0.5,0.666666667
111,37,ANN,0.94047619,0.772727273,0.4,0.5,0.444444444
112,38,Logistic,0.892857143,0.772727273,0.666666667,0.571428571,0.615384615
113,38,Random Forest,0.988095238,0.772727273,0.625,0.714285714,0.666666667
114,38,ANN,0.952380952,0.954545455,1,0.857142857,0.923076923
115,39,Logistic,0.904761905,0.863636364,0.666666667,0.8,0.727272727
116,39,Random Forest,0.988095238,0.909090909,0.714285714,1,0.833333333
117,39,ANN,0.952380952,0.863636364,0.625,1,0.769230769
118,40,Logistic,0.904761905,0.772727273,0.6,0.5,0.545454545
119,40,Random Forest,1,0.772727273,0.6,0.5,0.545454545
120,40,ANN,0.988095238,0.772727273,0.666666667,0.333333333,0.444444444
121,41,Logistic,0.916666667,0.772727273,0.666666667,0.571428571,0.615384615
122,41,Random Forest,1,0.818181818,0.8,0.571428571,0.666666667
123,41,ANN,0.988095238,0.818181818,0.8,0.571428571,0.666666667
124,42,Logistic,0.892857143,0.818181818,0.833333333,0.625,0.714285714
125,42,Random Forest,0.988095238,0.954545455,1,0.875,0.933333333
126,42,ANN,0.94047619,0.818181818,0.833333333,0.625,0.714285714
127,43,Logistic,0.904761905,0.727272727,0.6,0.428571429,0.5
128,43,Random Forest,0.988095238,0.772727273,0.75,0.428571429,0.545454545
129,43,ANN,0.916666667,0.681818182,0.5,0.714285714,0.588235294
130,44,Logistic,0.904761905,0.863636364,0.8,0.666666667,0.727272727
131,44,Random Forest,1,0.863636364,0.8,0.666666667,0.727272727
132,44,ANN,0.976190476,0.772727273,0.571428571,0.666666667,0.615384615
133,45,Logistic,0.892857143,0.909090909,0.8,0.8,0.8
134,45,Random Forest,0.988095238,0.909090909,1,0.6,0.75
135,45,ANN,0.976190476,0.636363636,0.363636364,0.8,0.5
136,46,Logistic,0.904761905,0.863636364,1,0.571428571,0.727272727
137,46,Random Forest,1,0.818181818,1,0.428571429,0.6
138,46,ANN,0.952380952,0.772727273,0.75,0.428571429,0.545454545
139,47,Logistic,0.869047619,0.954545455,0.857142857,1,0.923076923
140,47,Random Forest,1,0.909090909,0.833333333,0.833333333,0.833333333
141,47,ANN,0.964285714,0.772727273,0.555555556,0.833333333,0.666666667
142,48,Logistic,0.916666667,0.772727273,0.857142857,0.6,0.705882353
143,48,Random Forest,1,0.681818182,0.714285714,0.5,0.588235294
144,48,ANN,0.988095238,0.636363636,1,0.2,0.333333333
145,49,Logistic,0.904761905,0.863636364,0.75,0.857142857,0.8
146,49,Random Forest,0.988095238,0.863636364,0.75,0.857142857,0.8
147,49,ANN,0.952380952,0.818181818,0.666666667,0.857142857,0.75
148,50,Logistic,0.964285714,0.681818182,0.666666667,0.25,0.363636364
149,50,Random Forest,1,0.681818182,0.666666667,0.25,0.363636364
