"","EC","pH","Soil_Moisture_Lab","Blue_R","Red_R","Green_R","NIR_R","SWIR1_R","SWIR2_R","NBR","NBG","NBNIR","NBSWIR1","NBSWIR2","NDVI","NDSI2","NRSWIR1","NRSWIR2","NDWI","NGSWIR1","NGSWIR2","NNIRSWIR1","NNIRSWIR2","NDSI1","SI1","SI2","SI3","SI4","SI5","SAVI","VSSI"
"NGSWIR2",0.0220628880252293,0.142828281082538,0.469747458624165,-0.658839933701246,-0.629776621533339,-0.541758882968164,-0.329497898773298,-0.933888684194973,-0.913708813714216,-0.0174475749051111,-0.713687588687316,-0.387081367652167,0.532543087645347,0.888785836308875,-0.742001304829209,-0.369097618129199,0.520147398548302,0.904633462866368,-0.136628073201597,0.911133067967072,1,0.811168270370496,0.803412419483142,0.705477781892616,-0.597685247899077,-0.602093836731323,-0.654189324244981,-0.793906276362234,0.000531476783792817,-0.421781749036906,0.636753885255479
"NNIRSWIR1",-0.30086613913697,-0.0651550312675116,0.239955300062653,-0.850404600361911,-0.863047821150978,-0.784621336090234,0.182002657445061,-0.827450488404955,-0.880532584290443,0.1213519618884,-0.799759328417926,-0.810187040116406,0.0868380931219612,0.576330054472408,-0.933098449302797,-0.814786464082456,0.0224142658328994,0.523329938400458,-0.663553389594846,0.58508133504887,0.811168270370496,1,0.981974759189733,0.835221838701504,-0.835286702290418,-0.840664217815636,-0.869093242565424,-0.480765431463011,0.138484928953282,0.059274358295616,0.277867140983367
"NNIRSWIR2",-0.3126327722613,-0.0634350798703149,0.250155920017608,-0.880286348440157,-0.898437681609682,-0.826040862982262,0.197819782667233,-0.808403338843965,-0.900282522717694,0.131161996805227,-0.799695403291818,-0.837752064564445,0.0175626318812436,0.567005422468296,-0.939643071925348,-0.843666106600887,-0.0489967820146616,0.509400061600177,-0.696858695882855,0.525355766280926,0.803412419483142,0.981974759189733,1,0.92191641469539,-0.873734627590277,-0.877895399108775,-0.902165546875204,-0.474867812032422,0.147296368696158,0.0701082129097807,0.280041431339399
"NDSI1",-0.297070644678559,-0.0764902385492868,0.257100934044237,-0.826141410553184,-0.858298858373783,-0.80330944322923,0.211265836653968,-0.669069801234302,-0.827018623646495,0.154485539136435,-0.709889356384429,-0.78903837013575,-0.119190032649859,0.493282149095772,-0.861611358775338,-0.803614931969205,-0.191582360270052,0.424586373779184,-0.679348612607893,0.351407049531513,0.705477781892616,0.835221838701504,0.92191641469539,1,-0.840514652476142,-0.843526833017675,-0.854412786754729,-0.416149044716133,0.168170626861637,0.089391409924116,0.24459960529652
"SI1",0.330319561642729,0.0508060454629216,-0.161398041662834,0.941934363375707,0.99669885900523,0.991576137786529,-0.0924906530764432,0.743254395695051,0.841645482459704,-0.227476405284279,0.675877522956676,0.827384584694694,0.156049009260945,-0.370055729998763,0.875895226932699,0.85650352951089,0.262928683002183,-0.266697634457002,0.735224074080742,-0.301562932680575,-0.597685247899077,-0.835286702290418,-0.873734627590277,-0.840514652476142,1,0.999802989804953,0.983031341793031,0.524136594596183,-0.241846706297152,0.0499376545873556,-0.416596014846276
"SI2",0.329590544021524,0.0552312756677798,-0.163758337404069,0.941987893533555,0.997022362144767,0.991033705721967,-0.0961278340342378,0.745068344158648,0.842855638083158,-0.230447773478234,0.679515649254901,0.829679831383944,0.154329805113453,-0.373340616741606,0.881984701182212,0.859636731181003,0.262708754079282,-0.268687171073111,0.73769401989376,-0.305399860700316,-0.602093836731323,-0.840664217815636,-0.877895399108775,-0.843526833017675,0.999802989804953,1,0.98324718778514,0.5248722266087,-0.245131499367668,0.0463254208887023,-0.413520113791281
"SI3",0.281690852426408,0.0262904681737574,-0.236774180496468,0.986055878783924,0.985478805540822,0.965786098733393,-0.0905997078501139,0.780804493774985,0.873863167160809,-0.0745875290588658,0.795029059759961,0.859580838178077,0.164326575810111,-0.370530731660848,0.89125925451314,0.843650572011552,0.195828750732095,-0.335451828970393,0.711241197967856,-0.36837871383532,-0.654189324244981,-0.869093242565424,-0.902165546875204,-0.854412786754729,0.983031341793031,0.98324718778514,1,0.540102532792725,-0.0901304108817137,0.0502302670766686,-0.415014031012439
"SI4",-0.244224883529608,-0.279906499717998,-0.463868775620983,0.532056197237825,0.531610789536111,0.50545975030799,0.726724786304118,0.862374019121309,0.77860643248001,-0.0646691081498515,0.462964922069112,0.0698918471119168,-0.595201504552153,-0.771786283846058,0.533272868669158,0.0826871717333406,-0.541965767203335,-0.753662740443845,-0.162551097830917,-0.805858400550012,-0.793906276362234,-0.480765431463011,-0.474867812032422,-0.416149044716133,0.524136594596183,0.5248722266087,0.540102532792725,1,-0.080793095077781,0.807270531356692,-0.946242033080233
"SI5",-0.28331684123995,-0.120598154398136,-0.302217312111912,0.0702214592359429,-0.250380221098202,-0.228622964540567,0.124499445392426,-0.0390002119718387,-0.0759287272680148,0.998628946299077,0.40014958348573,-0.00789489590594032,0.180309153214418,0.257899903309117,-0.293699852545058,-0.287863853009771,-0.318727251489178,-0.188749145271644,-0.25839533551178,-0.100840070916154,0.000531476783792817,0.138484928953282,0.147296368696158,0.168170626861637,-0.241846706297152,-0.245131499367668,-0.0901304108817137,-0.080793095077781,1,0.0893175394067749,0.0139049457357892
"SAVI",-0.428256759447319,-0.374412218053955,-0.344178764035274,0.066810627107639,0.0304741443349587,0.0769835493596632,0.989789050100743,0.487369710099016,0.337541936339956,0.0985067527164654,0.0187471707055672,-0.432851229495167,-0.692495301691847,-0.559609988094031,-0.0542644195433346,-0.45025282445409,-0.715797385793793,-0.613433702130445,-0.61779968102138,-0.61073978555245,-0.421781749036906,0.059274358295616,0.0701082129097807,0.089391409924116,0.0499376545873556,0.0463254208887023,0.0502302670766686,0.807270531356692,0.0893175394067749,1,-0.926677516279244
"VSSI",0.271136712190099,0.327176006144724,0.387979457356827,-0.414348822839838,-0.402539032240212,-0.430307369870378,-0.863837861639152,-0.739572655607937,-0.638217414188194,0.000142662815970999,-0.288649032001774,0.0841809686189471,0.596135872971767,0.675186927226708,-0.301554100809507,0.0871898396037774,0.574128598803968,0.683871464397775,0.295048695534415,0.700554644216069,0.636753885255479,0.277867140983367,0.280041431339399,0.24459960529652,-0.416596014846276,-0.413520113791281,-0.415014031012439,-0.946242033080233,0.0139049457357892,-0.926677516279244,1
