,Iteration,Model_Type,Accuracy_Train,Accuracy_Test,Precision,Recall,F1_Score
91,46,Random Forest,0.985507246,0.857142857,1,0.333333333,0.5
92,46,ANN,0.884057971,0.733333333,NA,0,NA
93,47,Random Forest,0.971014493,0.75,NA,0,NA
94,47,ANN,0.921875,0.75,0.5,0.5,0.5
95,48,Random Forest,0.985507246,0.857142857,1,0.333333333,0.5
96,48,ANN,0.84057971,0.8,1,0.25,0.4
97,49,Random Forest,0.985507246,0.8,1,0.25,0.4
98,49,ANN,0.927536232,0.916666667,1,0.666666667,0.8
99,50,Random Forest,1,0.866666667,1,0.5,0.666666667
100,50,ANN,0.926470588,0.857142857,1,0.5,0.666666667
101,51,Random Forest,1,0.866666667,1,0.333333333,0.5
102,51,ANN,0.927536232,0.533333333,0.2,0.25,0.222222222
103,52,Random Forest,1,0.8125,1,0.25,0.4
104,52,ANN,0.956521739,0.625,0.25,0.25,0.25
105,53,Random Forest,1,0.857142857,1,0.333333333,0.5
106,53,ANN,0.869565217,0.615384615,0,0,NA
107,54,Random Forest,0.985507246,0.6875,0,0,NA
108,54,ANN,0.880597015,0.785714286,0.333333333,0.5,0.4
109,55,Random Forest,1,0.8125,1,0.25,0.4
110,55,ANN,0.867647059,0.75,NA,0,NA
111,56,Random Forest,0.985507246,0.5625,0,0,NA
112,56,ANN,0.926470588,0.466666667,0,0,NA
113,57,Random Forest,0.971014493,0.8125,1,0.25,0.4
114,57,ANN,0.955882353,0.5625,0.2,0.25,0.222222222
115,58,Random Forest,1,0.8,0.666666667,0.5,0.571428571
116,58,ANN,0.791044776,0.785714286,0.333333333,0.5,0.4
117,59,Random Forest,1,0.75,0.5,0.25,0.333333333
118,59,ANN,0.925373134,0.6,0,0,NA
119,60,Random Forest,1,0.8125,0.666666667,0.5,0.571428571
120,60,ANN,0.884057971,0.75,0.5,0.5,0.5
121,61,Random Forest,1,0.785714286,NA,0,NA
122,61,ANN,0.855072464,0.6,0.25,0.25,0.25
123,62,Random Forest,0.985507246,0.8,NA,0,NA
124,62,ANN,0.939393939,0.625,0.333333333,0.5,0.4
125,63,Random Forest,1,0.8,NA,0,NA
126,63,ANN,0.836065574,0.727272727,0,0,NA
127,64,Random Forest,1,0.6875,0,0,NA
128,64,ANN,0.898550725,0.625,0.333333333,0.5,0.4
129,65,Random Forest,0.985507246,0.866666667,1,0.5,0.666666667
130,65,ANN,0.898550725,0.533333333,0,0,NA
131,66,Random Forest,0.985507246,0.8125,1,0.25,0.4
132,66,ANN,0.869565217,0.642857143,0.25,0.333333333,0.285714286
133,67,Random Forest,0.985507246,0.8125,1,0.25,0.4
134,67,ANN,0.910447761,0.6875,0.333333333,0.25,0.285714286
135,68,Random Forest,1,0.733333333,0,0,NA
136,68,ANN,0.924242424,0.384615385,0.222222222,0.666666667,0.333333333
137,69,Random Forest,0.985507246,0.75,NA,0,NA
138,69,ANN,0.867647059,0.533333333,0,0,NA
139,70,Random Forest,1,0.8,1,0.25,0.4
140,70,ANN,0.808823529,0.642857143,0,0,NA
141,71,Random Forest,0.985507246,0.666666667,0.333333333,0.25,0.285714286
142,71,ANN,0.927536232,0.583333333,0,0,NA
143,72,Random Forest,0.985507246,0.875,1,0.5,0.666666667
144,72,ANN,0.884057971,0.6,0.2,0.333333333,0.25
145,73,Random Forest,1,0.785714286,NA,0,NA
146,73,ANN,0.852941176,0.916666667,1,0.5,0.666666667
147,74,Random Forest,0.985507246,0.75,0.5,0.25,0.333333333
148,74,ANN,0.927536232,0.8,0.666666667,0.5,0.571428571
149,75,Random Forest,0.985507246,0.866666667,1,0.333333333,0.5
150,75,ANN,0.9375,0.714285714,0.5,0.25,0.333333333
151,76,Random Forest,1,0.875,1,0.5,0.666666667
152,76,ANN,0.869565217,0.6875,0.4,0.5,0.444444444
153,77,Random Forest,0.985507246,0.8125,1,0.25,0.4
154,77,ANN,0.897058824,0.6875,0.333333333,0.25,0.285714286
155,78,Random Forest,0.985507246,0.8125,1,0.25,0.4
156,78,ANN,0.880597015,0.933333333,1,0.75,0.857142857
157,79,Random Forest,0.985507246,0.75,NA,0,NA
158,79,ANN,0.971014493,0.625,0.25,0.25,0.25
159,80,Random Forest,0.985507246,0.8125,0.666666667,0.5,0.571428571
160,80,ANN,0.865671642,0.6,0.285714286,0.666666667,0.4
161,81,Random Forest,1,0.714285714,0,0,NA
162,81,ANN,0.895522388,0.714285714,0,0,NA
163,82,Random Forest,0.985507246,0.75,NA,0,NA
164,82,ANN,0.911764706,0.625,0,0,NA
165,83,Random Forest,1,0.866666667,1,0.333333333,0.5
166,83,ANN,0.953846154,0.6,0.25,0.25,0.25
167,84,Random Forest,1,0.8125,1,0.25,0.4
168,84,ANN,0.898550725,0.714285714,0.5,0.25,0.333333333
169,85,Random Forest,0.985507246,0.866666667,1,0.333333333,0.5
170,85,ANN,0.955223881,0.769230769,NA,0,NA
171,86,Random Forest,1,0.866666667,1,0.5,0.666666667
172,86,ANN,0.884057971,0.4375,0.222222222,0.5,0.307692308
173,87,Random Forest,0.985507246,0.733333333,0.5,0.25,0.333333333
174,87,ANN,0.955223881,0.785714286,0.666666667,0.5,0.571428571
175,88,Random Forest,1,0.8125,0.666666667,0.5,0.571428571
176,88,ANN,0.953846154,0.75,0.5,0.5,0.5
177,89,Random Forest,1,0.785714286,0,0,NA
178,89,ANN,0.942028986,0.692307692,0,0,NA
179,90,Random Forest,0.971014493,0.8,1,0.25,0.4
180,90,ANN,0.913043478,0.857142857,1,0.333333333,0.5
181,91,Random Forest,1,0.8125,1,0.25,0.4
182,91,ANN,0.893939394,0.5625,0.333333333,0.75,0.461538462
183,92,Random Forest,0.985507246,0.733333333,NA,0,NA
184,92,ANN,0.823529412,0.769230769,NA,0,NA
185,93,Random Forest,1,0.8125,1,0.25,0.4
186,93,ANN,0.884057971,0.533333333,0.2,0.25,0.222222222
187,94,Random Forest,1,0.8,NA,0,NA
188,94,ANN,0.913043478,0.666666667,0,0,NA
189,95,Random Forest,1,0.733333333,0,0,NA
190,95,ANN,0.882352941,0.714285714,0.333333333,0.333333333,0.333333333
191,96,Random Forest,1,0.866666667,0.666666667,0.666666667,0.666666667
192,96,ANN,0.970149254,0.8,0.5,0.333333333,0.4
193,97,Random Forest,1,0.75,NA,0,NA
194,97,ANN,0.970149254,0.5625,0.285714286,0.5,0.363636364
195,98,Random Forest,0.985507246,0.733333333,NA,0,NA
196,98,ANN,0.913043478,0.466666667,0.166666667,0.25,0.2
197,99,Random Forest,1,0.75,NA,0,NA
198,99,ANN,0.897058824,0.714285714,0,0,NA
199,100,Random Forest,1,0.666666667,0,0,NA
200,100,ANN,0.942028986,0.8,0.6,0.75,0.666666667
