,Iteration,Model_Type,Accuracy_Train,Accuracy_Test,Precision,Recall,F1_Score
97,33,Logistic,0.894117647,0.80952381,1,0.333333333,0.5
98,33,Random Forest,1,0.857142857,1,0.5,0.666666667
99,33,ANN,0.964705882,0.80952381,0.666666667,0.666666667,0.666666667
100,34,Logistic,0.905882353,0.857142857,0.8,0.666666667,0.727272727
101,34,Random Forest,1,0.952380952,1,0.833333333,0.909090909
102,34,ANN,0.929411765,0.80952381,0.625,0.833333333,0.714285714
103,35,Logistic,0.905882353,0.857142857,0.8,0.666666667,0.727272727
104,35,Random Forest,0.988235294,0.80952381,0.75,0.5,0.6
105,35,ANN,0.917647059,0.714285714,0.5,0.166666667,0.25
106,36,Logistic,0.882352941,0.857142857,0.8,0.666666667,0.727272727
107,36,Random Forest,1,0.904761905,1,0.666666667,0.8
108,36,ANN,0.976470588,0.904761905,0.75,1,0.857142857
109,37,Logistic,0.917647059,0.666666667,0.428571429,0.5,0.461538462
110,37,Random Forest,1,0.761904762,0.6,0.5,0.545454545
111,37,ANN,0.941176471,0.80952381,0.75,0.5,0.6
112,38,Logistic,0.882352941,0.666666667,0.428571429,0.5,0.461538462
113,38,Random Forest,0.988235294,0.761904762,0.666666667,0.333333333,0.444444444
114,38,ANN,0.964705882,0.761904762,0.6,0.5,0.545454545
115,39,Logistic,0.882352941,0.904761905,0.75,1,0.857142857
116,39,Random Forest,0.988235294,0.80952381,0.625,0.833333333,0.714285714
117,39,ANN,0.952941176,0.80952381,0.666666667,0.666666667,0.666666667
118,40,Logistic,0.894117647,0.80952381,0.666666667,0.666666667,0.666666667
119,40,Random Forest,1,0.761904762,0.571428571,0.666666667,0.615384615
120,40,ANN,0.952941176,0.714285714,0.5,0.5,0.5
121,41,Logistic,0.894117647,0.857142857,0.8,0.666666667,0.727272727
122,41,Random Forest,1,0.857142857,0.8,0.666666667,0.727272727
123,41,ANN,0.964705882,0.80952381,0.666666667,0.666666667,0.666666667
124,42,Logistic,0.882352941,0.952380952,1,0.833333333,0.909090909
125,42,Random Forest,0.988235294,0.904761905,1,0.666666667,0.8
126,42,ANN,0.952941176,0.80952381,0.625,0.833333333,0.714285714
127,43,Logistic,0.894117647,0.857142857,0.8,0.666666667,0.727272727
128,43,Random Forest,1,0.80952381,0.75,0.5,0.6
129,43,ANN,0.976470588,0.714285714,0.5,0.333333333,0.4
130,44,Logistic,0.882352941,0.904761905,0.75,1,0.857142857
131,44,Random Forest,1,0.857142857,0.714285714,0.833333333,0.769230769
132,44,ANN,0.952941176,0.761904762,0.6,0.5,0.545454545
133,45,Logistic,0.894117647,0.80952381,0.666666667,0.666666667,0.666666667
134,45,Random Forest,1,0.904761905,0.833333333,0.833333333,0.833333333
135,45,ANN,0.952941176,0.904761905,0.833333333,0.833333333,0.833333333
136,46,Logistic,0.929411765,0.761904762,0.6,0.5,0.545454545
137,46,Random Forest,1,0.714285714,0.5,0.333333333,0.4
138,46,ANN,0.976470588,0.80952381,0.666666667,0.666666667,0.666666667
139,47,Logistic,0.929411765,0.857142857,0.8,0.666666667,0.727272727
140,47,Random Forest,0.988235294,0.857142857,1,0.5,0.666666667
141,47,ANN,0.976470588,0.714285714,0.5,0.666666667,0.571428571
142,48,Logistic,0.917647059,0.761904762,0.571428571,0.666666667,0.615384615
143,48,Random Forest,0.988235294,0.714285714,0.5,0.5,0.5
144,48,ANN,0.988235294,0.761904762,0.555555556,0.833333333,0.666666667
145,49,Logistic,0.870588235,0.857142857,0.666666667,1,0.8
146,49,Random Forest,1,0.857142857,0.8,0.666666667,0.727272727
147,49,ANN,0.976470588,0.904761905,0.833333333,0.833333333,0.833333333
148,50,Logistic,0.894117647,0.857142857,0.8,0.666666667,0.727272727
149,50,Random Forest,0.988235294,1,1,1,1
150,50,ANN,0.964705882,1,1,1,1
151,51,Logistic,0.894117647,0.904761905,1,0.666666667,0.8
152,51,Random Forest,0.988235294,0.904761905,1,0.666666667,0.8
153,51,ANN,0.976470588,0.904761905,1,0.666666667,0.8
154,52,Logistic,0.929411765,0.80952381,0.75,0.5,0.6
155,52,Random Forest,1,0.761904762,0.666666667,0.333333333,0.444444444
156,52,ANN,0.976470588,0.666666667,0.428571429,0.5,0.461538462
157,53,Logistic,0.894117647,0.80952381,0.75,0.5,0.6
158,53,Random Forest,0.988235294,0.857142857,1,0.5,0.666666667
159,53,ANN,0.905882353,0.857142857,0.8,0.666666667,0.727272727
160,54,Logistic,0.917647059,0.80952381,0.75,0.5,0.6
161,54,Random Forest,1,0.761904762,0.666666667,0.333333333,0.444444444
162,54,ANN,0.964705882,0.761904762,0.571428571,0.666666667,0.615384615
163,55,Logistic,0.917647059,0.714285714,0.5,0.5,0.5
164,55,Random Forest,0.988235294,0.761904762,0.6,0.5,0.545454545
165,55,ANN,0.976470588,0.714285714,0.5,0.666666667,0.571428571
166,56,Logistic,0.905882353,0.761904762,0.6,0.5,0.545454545
167,56,Random Forest,0.988235294,0.857142857,1,0.5,0.666666667
168,56,ANN,0.964705882,0.619047619,0.4,0.666666667,0.5
169,57,Logistic,0.917647059,0.80952381,0.666666667,0.666666667,0.666666667
170,57,Random Forest,0.988235294,0.857142857,0.8,0.666666667,0.727272727
171,57,ANN,0.952941176,0.904761905,0.833333333,0.833333333,0.833333333
172,58,Logistic,0.905882353,0.761904762,0.6,0.5,0.545454545
173,58,Random Forest,0.988235294,0.761904762,0.6,0.5,0.545454545
174,58,ANN,0.976470588,0.80952381,0.75,0.5,0.6
175,59,Logistic,0.882352941,0.80952381,0.625,0.833333333,0.714285714
176,59,Random Forest,1,0.761904762,0.6,0.5,0.545454545
177,59,ANN,0.952941176,0.761904762,0.6,0.5,0.545454545
178,60,Logistic,0.905882353,0.80952381,0.666666667,0.666666667,0.666666667
179,60,Random Forest,1,0.80952381,0.75,0.5,0.6
180,60,ANN,0.952941176,0.857142857,0.8,0.666666667,0.727272727
181,61,Logistic,0.917647059,0.857142857,1,0.5,0.666666667
